,score_0,review_0,positive_review_0,negative_review_0,score_1,review_1,positive_review_1,negative_review_1,score_2,review_2,positive_review_2,negative_review_2,score_3,review_3,positive_review_3,negative_review_3,score_4,review_4,positive_review_4,negative_review_4,score_5,review_5,positive_review_5,negative_review_5,score_6,review_6,positive_review_6,negative_review_6,min_score
0,5.8,"Positive: Small hotel, well maintained with nice breakfast. Staff were friendly and helpfu.
Negative: My a little tight room on the ground floor had a window but needed to be curtained. The door of bathroom automatically closes tight and the inside becomes quite steamy ","Small hotel, well maintained with nice breakfast. Staff were friendly and helpfu.
",My a little tight room on the ground floor had a window but needed to be curtained. The door of bathroom automatically closes tight and the inside becomes quite steamy ,6.7,"Positive: The kindness of the personal of the hotel.
Negative: Very small room, hotel old decoration and carpets no restauranta nither bar ","The kindness of the personal of the hotel.
","Very small room, hotel old decoration and carpets no restauranta nither bar ",7.5,"Positive: Room was very French. Little extras in the room for every Occassion. 
Negative: Room very small. I booked through booking.com because you don't pay at time of booking and was disappointed when I went to pay by cash that the money had been paid by my visa ","Room was very French. Little extras in the room for every Occassion. 
",Room very small. I booked through booking.com because you don't pay at time of booking and was disappointed when I went to pay by cash that the money had been paid by my visa ,7.9,"Positive: We had a cute little outdoor space which made us feel like the room wasn't so small. And the entire hotel had only 28 rooms so it felt very quiet and quaint. Perfectly romantic for our 4 night getaway. Seems like we got a great deal and perfect experience for what we paid for compared to other similar hotels.
Negative: The area didn't have a ton of late night action in terms of options and places to eat drink but the hotel was able to come through for us and let us buy some wine that we could enjoy on our terrace ","We had a cute little outdoor space which made us feel like the room wasn't so small. And the entire hotel had only 28 rooms so it felt very quiet and quaint. Perfectly romantic for our 4 night getaway. Seems like we got a great deal and perfect experience for what we paid for compared to other similar hotels.
",The area didn't have a ton of late night action in terms of options and places to eat drink but the hotel was able to come through for us and let us buy some wine that we could enjoy on our terrace ,7.9,"Positive: Friendly atmosphere close to metro station fairly close to the center of the city, good breakfast, comfortable beds, clean friendly and helpful staff. 
Negative: Rooms very small, no balcony","Friendly atmosphere close to metro station fairly close to the center of the city, good breakfast, comfortable beds, clean friendly and helpful staff. 
","Rooms very small, no balcony",9.6,"Positive: Beautiful hotel positioned right in the centre of Paris and only a short walk to the metro. Lovely lounge area with complimentary coffee. Friendly and helpful staff. 
Negative: Breakfast is rather pricey but then it is everywhere in Paris ","Beautiful hotel positioned right in the centre of Paris and only a short walk to the metro. Lovely lounge area with complimentary coffee. Friendly and helpful staff. 
",Breakfast is rather pricey but then it is everywhere in Paris ,10,"Positive: Wonderful boutique hotel, very kind staff, great location couldn't ask for more. I will certainly be back and would recommend the hotel to anyone. 
Negative: Absolutely nothing, it was excellent","Wonderful boutique hotel, very kind staff, great location couldn't ask for more. I will certainly be back and would recommend the hotel to anyone. 
","Absolutely nothing, it was excellent",5.8
1,4.2,"Positive: 
Negative: The rooms were very bad. Also the air conditioner. It is really hoot. Bathrooms were so small like airplanes bathrooms ","
",The rooms were very bad. Also the air conditioner. It is really hoot. Bathrooms were so small like airplanes bathrooms ,4.2,"Positive: Location. 
Negative: First when I arrived at hotel with 3 big luggage and 2 small luggage no one stand up at reception to offer you any helps. No service for my whole stay my phone in the room was not working and I have to go down and tell the staff and yet nothing happen. When I go down again on the next morning staff told me she thought was done but no one even visited my room. Until I check out also no one check on it. Room sofa is all so old and oily ","Location. 
",First when I arrived at hotel with 3 big luggage and 2 small luggage no one stand up at reception to offer you any helps. No service for my whole stay my phone in the room was not working and I have to go down and tell the staff and yet nothing happen. When I go down again on the next morning staff told me she thought was done but no one even visited my room. Until I check out also no one check on it. Room sofa is all so old and oily ,6.3,"Positive: requirement in room cleanness, staff friendly gym room availability. Near to Shanzelize.
Negative: small hotel location, very small room, hearing other rooms sound high rate","requirement in room cleanness, staff friendly gym room availability. Near to Shanzelize.
","small hotel location, very small room, hearing other rooms sound high rate",6.7,"Positive: Location.
Negative: The Hotel room sizes are Tiny for the price and star rating, other hotels in the same street with a lower star rating have much better facilities in the room and room sizes double what mine was at a lower price ","Location.
","The Hotel room sizes are Tiny for the price and star rating, other hotels in the same street with a lower star rating have much better facilities in the room and room sizes double what mine was at a lower price ",7.1,"Positive: Hotel staff were helpful.
Negative: WIFI had an issue on the 2nd day and it was unavailable the remaining days ","Hotel staff were helpful.
",WIFI had an issue on the 2nd day and it was unavailable the remaining days ,8.3,"Positive: Location was the best. Near the heart of paris. Just a few meters walk to Champs Elysses and Arc de triomphe de I Etoile. There is a good Iranian restaurant just a few meters from the hotel on rue Washington. The staff was very very friendly. They were very helpful to us to find our lost luggage on the airfrance flight. The backyard garden is very cousy and calm. You can relax and enjoy the shadow of trees there. Rooms that have view to the street are so large and have balcony.
Negative: There are two lifts but they are slow. There were no many variety on the breakfast table. The couch for seating in breakfast hall is not suitable for the table ","Location was the best. Near the heart of paris. Just a few meters walk to Champs Elysses and Arc de triomphe de I Etoile. There is a good Iranian restaurant just a few meters from the hotel on rue Washington. The staff was very very friendly. They were very helpful to us to find our lost luggage on the airfrance flight. The backyard garden is very cousy and calm. You can relax and enjoy the shadow of trees there. Rooms that have view to the street are so large and have balcony.
",There are two lifts but they are slow. There were no many variety on the breakfast table. The couch for seating in breakfast hall is not suitable for the table ,10,"Positive: Nice friendly staff. Central location, quite place, good for businees and shopping. Easy way to the airport and buss stations. Close Metro.
Negative:","Nice friendly staff. Central location, quite place, good for businees and shopping. Easy way to the airport and buss stations. Close Metro.
",,4.2
2,7.9,"Positive: View of the Sagrada Famillia. Bathroom small but with a nice shower. Really good value for money breakfast real orange juice good pastry eggs cooked on demand.
Negative: Bed not of very high standards. I did not manage to put the heating on. Quite expansive when I was there but it is true that it was a very high occupancy week","View of the Sagrada Famillia. Bathroom small but with a nice shower. Really good value for money breakfast real orange juice good pastry eggs cooked on demand.
",Bed not of very high standards. I did not manage to put the heating on. Quite expansive when I was there but it is true that it was a very high occupancy week,8.3,"Positive: The location was perfect and lots of restaurants and cafes to choose from. The roof top bar was an excellent addition to this clean and modern hotel.
Negative: No tea or coffee making facilities in the room","The location was perfect and lots of restaurants and cafes to choose from. The roof top bar was an excellent addition to this clean and modern hotel.
",No tea or coffee making facilities in the room,8.3,"Positive: Hotel location 2 minutes walk from subway station close to Sagrada Familia. Staff is very friendly and speak a good english. WiFi of good quality.
Negative: Nothing unpleasant. I think we paid a too high price for the location rather than for the quality but overall it was not a bad experience ","Hotel location 2 minutes walk from subway station close to Sagrada Familia. Staff is very friendly and speak a good english. WiFi of good quality.
",Nothing unpleasant. I think we paid a too high price for the location rather than for the quality but overall it was not a bad experience ,8.8,"Positive: The hotel is lovely with big comfortable rooms. Roof terrace had fantastic views of the Sagrada Familia. We also found some reasonable restaurants nearby.
Negative: The hotel charged us 20 over what we were quoted by Booking.com. The hotel was close to the Sagrada Familia but was a little far from other attractions ","The hotel is lovely with big comfortable rooms. Roof terrace had fantastic views of the Sagrada Familia. We also found some reasonable restaurants nearby.
",The hotel charged us 20 over what we were quoted by Booking.com. The hotel was close to the Sagrada Familia but was a little far from other attractions ,9.2,"Positive: The view from the roof was fabulous. The staff were very friendly and helpful.
Negative: The single bed was on wheels kept moving when sat on it ","The view from the roof was fabulous. The staff were very friendly and helpful.
",The single bed was on wheels kept moving when sat on it ,9.2,"Positive: The breakfastwas excellent. You can chose a lot of stuff to eat cold or hot.
Negative: The position is not that good. Beside the Sagrada familia there's nothing there. And you make like 30-40 min to the center of the city. But you can take a taxi which is not that expensive ","The breakfastwas excellent. You can chose a lot of stuff to eat cold or hot.
",The position is not that good. Beside the Sagrada familia there's nothing there. And you make like 30-40 min to the center of the city. But you can take a taxi which is not that expensive ,10,"Positive: We love this hotel and always stay here on business trips every year. Ideal location modern clean and friendly staff. The rooftop terrace is ideal for relaxing after the end of long days.
Negative:","We love this hotel and always stay here on business trips every year. Ideal location modern clean and friendly staff. The rooftop terrace is ideal for relaxing after the end of long days.
",,7.9
3,3.3,"Positive: Location is good.
Negative: Staff not well cooperate especially at check in. Cleaning is not good. Rooms are small. You can hear your neighbor room when he standing speaking go to toilet and what he do. Old hotel need renewed","Location is good.
",Staff not well cooperate especially at check in. Cleaning is not good. Rooms are small. You can hear your neighbor room when he standing speaking go to toilet and what he do. Old hotel need renewed,6.3,"Positive: The hotel staff was responsive.
Negative: The bedroom space corridors and elevators are cramped, so if you are accustomed to a spacious living area you might want to reconsider booking ","The hotel staff was responsive.
","The bedroom space corridors and elevators are cramped, so if you are accustomed to a spacious living area you might want to reconsider booking ",7.1,"Positive: Steps away from Place de l Etoile. Clean.
Negative: Advertised on Booking.com as 4 star this was clearly an OK 3 star ","Steps away from Place de l Etoile. Clean.
",Advertised on Booking.com as 4 star this was clearly an OK 3 star ,8.3,"Positive: The Staff was excellent very nice and helpful 24 hours service at the reception area helped to arrange drycleaning or reserve a taxi answer questions and so forth. Because we were getting married I asked for a room with a view so they upgraded us to a very nice room 3 of the days the weekend we where getting married with no extra charge.
Negative: The cleaning does not include filling up the mini bar or taking away used glasses. Towels and sheets are always changed clean and nice but sometimes lacking both soap and toilet paper at one occasion they seem to be in some kind of a rush. Kindness of staff in the reception area is super though ","The Staff was excellent very nice and helpful 24 hours service at the reception area helped to arrange drycleaning or reserve a taxi answer questions and so forth. Because we were getting married I asked for a room with a view so they upgraded us to a very nice room 3 of the days the weekend we where getting married with no extra charge.
",The cleaning does not include filling up the mini bar or taking away used glasses. Towels and sheets are always changed clean and nice but sometimes lacking both soap and toilet paper at one occasion they seem to be in some kind of a rush. Kindness of staff in the reception area is super though ,8.8,"Positive: I got the room with the view of Arc de Triumph and it was nice. I could also see the Eiffel from my room.
Negative: The room was not well illuminated and small ","I got the room with the view of Arc de Triumph and it was nice. I could also see the Eiffel from my room.
",The room was not well illuminated and small ,8.8,"Positive: 2 minutes walking distance to arc de triumph Charles de Gaulle metro station, just downstairs the airport bus service 100 meters away the hotel, stuff were very welcoming security after midnight, a very good place to stay in heart of Paris.
Negative: The room was too small but I guess that is in most of Paris hotels","2 minutes walking distance to arc de triumph Charles de Gaulle metro station, just downstairs the airport bus service 100 meters away the hotel, stuff were very welcoming security after midnight, a very good place to stay in heart of Paris.
",The room was too small but I guess that is in most of Paris hotels,10,"Positive: excelent location direct bus from to airports 100 meter 50 meter to Letoile metro in the heart of paris walking distance to convention center. Extra cordial friendly staff. Clean rooms corridors. Ambiant atmosphere. Rich tasty fresh fine breakfast in a roccoco dining room. The croissones were finest stuff and also fresh whole fruits.
Negative: nothing to be changed","excelent location direct bus from to airports 100 meter 50 meter to Letoile metro in the heart of paris walking distance to convention center. Extra cordial friendly staff. Clean rooms corridors. Ambiant atmosphere. Rich tasty fresh fine breakfast in a roccoco dining room. The croissones were finest stuff and also fresh whole fruits.
",nothing to be changed,3.3
4,4.2,"Positive: Next to underground metro.
Negative: Parking was in plaza close buy and no lift there. Rooms were exceptionally small. Toilet and shower were seperate in a small room and were very small area in the room. AC cooling was not good and staff could not do much about it. All A/C split unit needed was cleaning of filter and gas reload ","Next to underground metro.
",Parking was in plaza close buy and no lift there. Rooms were exceptionally small. Toilet and shower were seperate in a small room and were very small area in the room. AC cooling was not good and staff could not do much about it. All A/C split unit needed was cleaning of filter and gas reload ,6.3,"Positive: The room is great. I wish we had breakfast thrown in for the price. Location isn't too bad.
Negative: The lift is the scariest thing on earth. This definitely needs replacing or upgrading to somewhere else in the hotel. I don't understand how they haven't changed it or had complaints about it before ","The room is great. I wish we had breakfast thrown in for the price. Location isn't too bad.
",The lift is the scariest thing on earth. This definitely needs replacing or upgrading to somewhere else in the hotel. I don't understand how they haven't changed it or had complaints about it before ,7.5,"Positive: The room was small but very nice and practical. The door of the room is extremely heavy for safety reasons obviously and that makes leaving it with a lot of luggage complicated.
Negative: The person at reception when we arrived was strange and not very welcoming. The person there when we left on the other hand was very friendly and competent. I feel the lobby has a cheap vibe that doesn't come back in the rest of the hotel could be better ","The room was small but very nice and practical. The door of the room is extremely heavy for safety reasons obviously and that makes leaving it with a lot of luggage complicated.
",The person at reception when we arrived was strange and not very welcoming. The person there when we left on the other hand was very friendly and competent. I feel the lobby has a cheap vibe that doesn't come back in the rest of the hotel could be better ,7.5,"Positive: breakfast was good and was good value for the express one.
Negative: the layout of the room was a bit funny as there were 2 rooms but the desk almost touched the bed so the use of space was a bit strange","breakfast was good and was good value for the express one.
",the layout of the room was a bit funny as there were 2 rooms but the desk almost touched the bed so the use of space was a bit strange,7.9,"Positive: Really helpful staff, excellent location across the road from the metro FOC very useful maps.
Negative: Rooms were small and lift claustrophobic ","Really helpful staff, excellent location across the road from the metro FOC very useful maps.
",Rooms were small and lift claustrophobic ,8.3,"Positive: Mr. Alexandre in reception make our stay totally comfortable. He was so kind, proffesional and helpful. Thank you so much for beautiful days in Paris.
Negative: Rooms are a little small","Mr. Alexandre in reception make our stay totally comfortable. He was so kind, proffesional and helpful. Thank you so much for beautiful days in Paris.
",Rooms are a little small,8.8,"Positive: staff were very nice, nice view, very clean.
Negative: only one elevator and tiny one, no internet connection in my room. No many options in the breakfast menu ","staff were very nice, nice view, very clean.
","only one elevator and tiny one, no internet connection in my room. No many options in the breakfast menu ",4.2
5,6.7,"Positive: The location is superb, the rooms are super clean.
Negative: Where to start. Rooms are SMALL As in SMALL. Breakfast is the worst I have ever had croissants bread are it with no choice. Day 1 we had to come back as not enough seats. Day 2 we had to ask for more cups as they were all gone. The room was also ridiculously warm at night probably the only place we have had to use aircon in April in the UK ","The location is superb, the rooms are super clean.
",Where to start. Rooms are SMALL As in SMALL. Breakfast is the worst I have ever had croissants bread are it with no choice. Day 1 we had to come back as not enough seats. Day 2 we had to ask for more cups as they were all gone. The room was also ridiculously warm at night probably the only place we have had to use aircon in April in the UK ,6.7,"Positive: Bed was comfy, shower was excellent.
Negative: Room was very tight for space. A mirror near an electrical point for doing hair would be useful ","Bed was comfy, shower was excellent.
",Room was very tight for space. A mirror near an electrical point for doing hair would be useful ,7.1,"Positive: Location and friendliness of the hotel staff.
Negative: Heating was not working. Properly and could not be regulated ","Location and friendliness of the hotel staff.
",Heating was not working. Properly and could not be regulated ,7.5,"Positive: Location. Close and cheap parking after 6pm. Comfy bed. Good shower.
Negative: No windows. Soap dispenser squirted at 90degree angle. Plug sockets so close to tabletops that it's a battle to plug appliances in. Both trivial but worth noting to assist future users. We would stay again ","Location. Close and cheap parking after 6pm. Comfy bed. Good shower.
",No windows. Soap dispenser squirted at 90degree angle. Plug sockets so close to tabletops that it's a battle to plug appliances in. Both trivial but worth noting to assist future users. We would stay again ,7.5,"Positive: Awesome receptionist. Lovely room.
Negative: Sockets in room didn't work but resolved quickly. When busy I wasn't given the service I had received previously on reception","Awesome receptionist. Lovely room.
",Sockets in room didn't work but resolved quickly. When busy I wasn't given the service I had received previously on reception,8.3,"Positive: Great location. Friendly and helpful stay not often today in hot law you get asked if you want your case carried to the room. Comfortable room and good nogt's sleep. Very quiet considering the location. I will stay there again.
Negative: Serving area for breakfast rather cramped if busy ","Great location. Friendly and helpful stay not often today in hot law you get asked if you want your case carried to the room. Comfortable room and good nogt's sleep. Very quiet considering the location. I will stay there again.
",Serving area for breakfast rather cramped if busy ,10,"Positive: Very nice place. Great location. Nice and clean rooms. Good personell.
Negative: I missed standard english breakfast ","Very nice place. Great location. Nice and clean rooms. Good personell.
",I missed standard english breakfast ,6.7
6,5.8,"Positive: The location is awesome. You can go across the street and grab a subway. The Sagrada Familia is about 15 20 minutes by foot. 
Negative: The swimming pool on the top of the roof is very small. In high season there is little possibility that you will be able to use it. The worst thing was that during my stay the crew started to paint all the walls on my floor's corridor. The paint smell really awful. Although the stuff from the Reception desk was ok the women bartender who worked on morning shift wasn't very nice maybe she felt a little bit sleepy. In my opinion the cost was too high compared to the offer ","The location is awesome. You can go across the street and grab a subway. The Sagrada Familia is about 15 20 minutes by foot. 
",The swimming pool on the top of the roof is very small. In high season there is little possibility that you will be able to use it. The worst thing was that during my stay the crew started to paint all the walls on my floor's corridor. The paint smell really awful. Although the stuff from the Reception desk was ok the women bartender who worked on morning shift wasn't very nice maybe she felt a little bit sleepy. In my opinion the cost was too high compared to the offer ,6.3,"Positive: Last floor with amazing views.
Negative: We supposed to have SPA included in the price. Thats why we have choosen that offer with terrace so we can have SPA access. When we arrived to the hotel we have been told that the offer have changed so we need to pay each time when we want to enter spa for the price which we have payed for our stay conditions were not to good ","Last floor with amazing views.
",We supposed to have SPA included in the price. Thats why we have choosen that offer with terrace so we can have SPA access. When we arrived to the hotel we have been told that the offer have changed so we need to pay each time when we want to enter spa for the price which we have payed for our stay conditions were not to good ,7.5,"Positive: Excellent breakfast and friendly helpful staff. Good location close to the Metro station and walking distance to Sagrada Familia. Nice snack bar area to grab a light meal. We would stay there again.
Negative: Tried to visit the Fitness centre Spa at 5:00 in the evening but it was closed. Didn't get to see it so I can't comment ","Excellent breakfast and friendly helpful staff. Good location close to the Metro station and walking distance to Sagrada Familia. Nice snack bar area to grab a light meal. We would stay there again.
",Tried to visit the Fitness centre Spa at 5:00 in the evening but it was closed. Didn't get to see it so I can't comment ,8.8,"Positive: The people who are working there are very helpful. The rooms are big and clean. The location is good near metro.
Negative: The pool is small and not nice decorated. For sure not good enough for a 4 star hotel ","The people who are working there are very helpful. The rooms are big and clean. The location is good near metro.
",The pool is small and not nice decorated. For sure not good enough for a 4 star hotel ,8.8,"Positive: good variety of food at breakfast, outdoor swimming pool small but good with great views of the city, staff friendly professional and helpful and child friendly, room large and well equipped across the road from metro station.
Negative: stayed in a newly refurbished family room which was excellent apart from the air con not cooling the room sufficiently","good variety of food at breakfast, outdoor swimming pool small but good with great views of the city, staff friendly professional and helpful and child friendly, room large and well equipped across the road from metro station.
",stayed in a newly refurbished family room which was excellent apart from the air con not cooling the room sufficiently,9.6,"Positive: Pool was great with amazing views cocktails on the roof at night were perfect. Good wifi, location to the metro was excellent not so many bars restaurants nearby but easy to travel into central Barcelona. Room was spacious. Staff helpful and barman was fab made us cocktails not on the menu. Very clean everywhere. Will definitely be back to Barcelona and would stay here again.
Negative: No tea coffee making facilities in the room but we knew that when we booked. I'm a typical Brit who likes her Tea. Breakfast was slightly overpriced but you did have a fantastic selection ","Pool was great with amazing views cocktails on the roof at night were perfect. Good wifi, location to the metro was excellent not so many bars restaurants nearby but easy to travel into central Barcelona. Room was spacious. Staff helpful and barman was fab made us cocktails not on the menu. Very clean everywhere. Will definitely be back to Barcelona and would stay here again.
",No tea coffee making facilities in the room but we knew that when we booked. I'm a typical Brit who likes her Tea. Breakfast was slightly overpriced but you did have a fantastic selection ,10,"Positive: The whole experience of our trip to Barcelona and the hotel was perfect. I can not speak highly enough of everyone who made our stay so special. Our room was lovely and clean with a fantastic shower and huge comfy bed. We spent time in the spa and on the roof terrace which has spectacular views over the city very close to the metro so getting about was easy I will return here I hope sometime in the future.
Negative: I really cannot think of anything at the moment","The whole experience of our trip to Barcelona and the hotel was perfect. I can not speak highly enough of everyone who made our stay so special. Our room was lovely and clean with a fantastic shower and huge comfy bed. We spent time in the spa and on the roof terrace which has spectacular views over the city very close to the metro so getting about was easy I will return here I hope sometime in the future.
",I really cannot think of anything at the moment,5.8
7,9.6,"Positive: Perfect location a few steps from Plaza Catalunya. Balcony room has great view and individual plunge pool option is a bonus. Free snacks and drinks available. Staff were extremely warm and helpful.
Negative: Very hard to fault this property ","Perfect location a few steps from Plaza Catalunya. Balcony room has great view and individual plunge pool option is a bonus. Free snacks and drinks available. Staff were extremely warm and helpful.
",Very hard to fault this property ,9.6,"Positive: Great location for the city centre, friendly helpful staff, cleanliness, comfort, great free snacks in the afternoon. Met all our needs.
Negative: Nothing to dislike ","Great location for the city centre, friendly helpful staff, cleanliness, comfort, great free snacks in the afternoon. Met all our needs.
",Nothing to dislike ,9.6,"Positive: Excellent location. Friendly and helpful staff. Free hotel snacks 2pm to midnight.
Negative: Frequent vibration from the underground metro even on the higher floors ","Excellent location. Friendly and helpful staff. Free hotel snacks 2pm to midnight.
",Frequent vibration from the underground metro even on the higher floors ,9.6,"Positive: Location excellent. Staff extremely helpful.
Negative: Such a small thing but no international razor plug in bathroom","Location excellent. Staff extremely helpful.
",Such a small thing but no international razor plug in bathroom,10,"Positive: Extremely helpful and friendly staff hotel in great shape and location. Would def reccomend and go back again. They deserve all the credit they get.
Negative: Not a single thing","Extremely helpful and friendly staff hotel in great shape and location. Would def reccomend and go back again. They deserve all the credit they get.
",Not a single thing,10,"Positive: Hotel staff was very friendly and helpful. Excellent location. Shopping and Metro stations all within easy walking distance. The snacks are an amazing selection salads sandwiches juices coffees desserts etc all for no extra charge.
Negative:","Hotel staff was very friendly and helpful. Excellent location. Shopping and Metro stations all within easy walking distance. The snacks are an amazing selection salads sandwiches juices coffees desserts etc all for no extra charge.
",,10,"Positive: Excellent hotel at the city center. Hotel is very new and modern. Staff is professional and helpful. Location is perfect at the city center.
Negative:","Excellent hotel at the city center. Hotel is very new and modern. Staff is professional and helpful. Location is perfect at the city center.
",,9.6
8,4.6,"Positive: The location.
Negative: No reception staff available for the whole day night. They are offering the rooms next to the reception which is quite inconvenient. Reception staff. No elevator from the entrance stairs which is inconvenient for lifting heavier baggage","The location.
",No reception staff available for the whole day night. They are offering the rooms next to the reception which is quite inconvenient. Reception staff. No elevator from the entrance stairs which is inconvenient for lifting heavier baggage,6.7,"Positive: the room was clean everyday and the bed was comfortable.
Negative: the entrance was disapointing and had unpleasant smell","the room was clean everyday and the bed was comfortable.
",the entrance was disapointing and had unpleasant smell,7.1,"Positive: The location was perfect.
Negative: The reception was open only between 9-12 and 13-17. We had a flight at night and checked out from the room. Therefore our luggages were in some special room and we hadn't got the key. So you can't expect a personal who is at the reception all the time ","The location was perfect.
",The reception was open only between 9-12 and 13-17. We had a flight at night and checked out from the room. Therefore our luggages were in some special room and we hadn't got the key. So you can't expect a personal who is at the reception all the time ,7.5,"Positive: Decent location not far from RauntHause. Quite cheap. Easy to pay and order. Good staff. Soft and clean bed, good bathroom.
Negative: Quite poor door between closet and bedroom. Closed window did not allow to get any view on the street. Poor noise insulation. We could hear not only inhabitants but every trum going nearby ","Decent location not far from RauntHause. Quite cheap. Easy to pay and order. Good staff. Soft and clean bed, good bathroom.
",Quite poor door between closet and bedroom. Closed window did not allow to get any view on the street. Poor noise insulation. We could hear not only inhabitants but every trum going nearby ,8.8,"Positive: The room was big comfortable and clean. The hotel is located in a 25 walking distance from the city center but you can also use the tram or the bus to go where you want. We really enjoyed staying there and would totally recommend it. Also the staff was very kind and helpful.
Negative: The walls are very thin and you can listen to every little thing that is going on but we had very quiet neighbors. You have to keep in mind that the reception is available only in certain hours every day especially if you want to check in out. That is not an issue once you know it and can make your arrangements in advance. Overall we had a very pleasant stay ","The room was big comfortable and clean. The hotel is located in a 25 walking distance from the city center but you can also use the tram or the bus to go where you want. We really enjoyed staying there and would totally recommend it. Also the staff was very kind and helpful.
",The walls are very thin and you can listen to every little thing that is going on but we had very quiet neighbors. You have to keep in mind that the reception is available only in certain hours every day especially if you want to check in out. That is not an issue once you know it and can make your arrangements in advance. Overall we had a very pleasant stay ,9.2,"Positive: Most comfortable bed I've ever slept in. Very clean apartment helpful staff and good transport links.
Negative: We had to have an ice cold shower a couple of times as there was no hot water. We would have had breakfast but it didn't look like there was much to choose from ","Most comfortable bed I've ever slept in. Very clean apartment helpful staff and good transport links.
",We had to have an ice cold shower a couple of times as there was no hot water. We would have had breakfast but it didn't look like there was much to choose from ,10,"Positive: Everything was just great. The high quality service for this price seems a perfect ratio. Nice big bathroom with a window, very clean, stuff is friendly always ready to help and multilingual nice breakfast, fast WIFI. Vending machine in the lobby where I could get some snacks was a good advantage. I was a bit worrying because of the late check in as the front desk works till six but everything went smoothly with a keybox. Also great location in the centre everything is within a walking distance. Definitely will stay there again when coming to Vienna. Thank you for making my stay in Vienna so comfy.
Negative:","Everything was just great. The high quality service for this price seems a perfect ratio. Nice big bathroom with a window, very clean, stuff is friendly always ready to help and multilingual nice breakfast, fast WIFI. Vending machine in the lobby where I could get some snacks was a good advantage. I was a bit worrying because of the late check in as the front desk works till six but everything went smoothly with a keybox. Also great location in the centre everything is within a walking distance. Definitely will stay there again when coming to Vienna. Thank you for making my stay in Vienna so comfy.
",,4.6
9,3.3,"Positive:
Negative: The room seemed very worn. Bathroom tiles were stained. Just didn't have a nice ambience. Service in the bar was very poor also. Very poor value for money. Next morning staff didn't even ask if it was a pleasant stay. No customer service ","
",The room seemed very worn. Bathroom tiles were stained. Just didn't have a nice ambience. Service in the bar was very poor also. Very poor value for money. Next morning staff didn't even ask if it was a pleasant stay. No customer service ,3.3,"Positive: Everything was new recently renovated.
Negative: Shockingly poor quality of the renovation work. Towel rails falling off walls and no sound proofing, also paid extra to upgrade room to with bath but the hot tap had been disabled and the shower water was only luke warm. Key machine on door didn't work properly and room service food was left in corridor all night and still there after 9 when we went to breakfast ","Everything was new recently renovated.
","Shockingly poor quality of the renovation work. Towel rails falling off walls and no sound proofing, also paid extra to upgrade room to with bath but the hot tap had been disabled and the shower water was only luke warm. Key machine on door didn't work properly and room service food was left in corridor all night and still there after 9 when we went to breakfast ",6.3,"Positive: Family room in the old building was very spacious. Very easy access to central London and Richmond where we had to be for a wedding.
Negative: The bar downstairs was extremely noisy when we arrived, it was not exactly a relaxing atmosphere. Air quality in the room was poor not possible to open a window","Family room in the old building was very spacious. Very easy access to central London and Richmond where we had to be for a wedding.
","The bar downstairs was extremely noisy when we arrived, it was not exactly a relaxing atmosphere. Air quality in the room was poor not possible to open a window",7.9,"Positive: Cleanliness of room.
Negative: Air Conditioning was not working very well. And the false fire alarm at 1:30 am Sunday night was not appreciated","Cleanliness of room.
",Air Conditioning was not working very well. And the false fire alarm at 1:30 am Sunday night was not appreciated,8.3,"Positive: The room was really modern clean and I got a great price for this hotel.
Negative: just the location was a little bit of a way out but I knew that when booking it so it wasn't really a problem ","The room was really modern clean and I got a great price for this hotel.
",just the location was a little bit of a way out but I knew that when booking it so it wasn't really a problem ,8.3,"Positive: The interior was sleek and relatively modern which was surprising giving that the exterior of the hotel wasn't on par.
Negative: The showers looked modern however the pressure of water coming out of the shower head was average at best ","The interior was sleek and relatively modern which was surprising giving that the exterior of the hotel wasn't on par.
",The showers looked modern however the pressure of water coming out of the shower head was average at best ,9.2,"Positive: Very good breakfast plenty of choice. Friendly and approachable staff. Hotel was very clean and comfortable and very tastefully decorated and furnished. Would stay there again.
Negative:","Very good breakfast plenty of choice. Friendly and approachable staff. Hotel was very clean and comfortable and very tastefully decorated and furnished. Would stay there again.
",,3.3
